Activity A,Start,End,Activity B,Start,End,Type of dependency,Dependency status,Comment,Issue target date,Solution found
A.2.5.4 Develop an action plan to integrate European Citizenship into the curricula of UNITA universities,2024-04-01 00:00:00,2027-04-30 00:00:00,A.3.2.2 Define and award the UNITA microcredential label,2024-05-01 00:00:00,2027-10-31 00:00:00,Requires,Slowing,Information needs to be exchanged between both tasks once task 2.5 gets the answer from CfP Jean Monnet Module,,
A.2.5.2 Organize an annual Conference on European Citizenship,2025-01-01 00:00:00,2027-07-31 00:00:00,A.2.3.2 Implement Task-focused open actions for community building,2024-02-01 00:00:00,2025-04-30 00:00:00,Start to Start (StS),No problem,The organization of a third one-day conference is associated with the possibility of organizing a matching event at the same time. Contacts with Task Team 2.3 must be developed-,,
A.2.5.4 Develop an action plan to integrate European Citizenship into the curricula of UNITA universities,2024-04-01 00:00:00,2027-04-30 00:00:00,A.3.1.3 Introduce the mobility window (MW) in study programmes,2024-04-01 00:00:00,2027-10-31 00:00:00,Requires,No problem,Need of information about the progress made regarding the recognition of EU citizenship learnings in the curricula ,,
A.2.5.4 Develop an action plan to integrate European Citizenship into the curricula of UNITA universities,2024-04-01 00:00:00,2027-04-30 00:00:00,A.3.4.2 Set the specifications of the inter-university digital campus,2024-05-01 00:00:00,2025-01-01 00:00:00,Requires,Blocking,Task Team 2.5 needs an operational Digital Interuniversity Campus to be able to make all the courses and organized activities available to the UNITA Universities,,
A.2.5.3 Set up UNITA prizes and contests on European Citizenship,2024-04-01 00:00:00,2027-10-31 00:00:00,A.5.1.5 Contribute to increasing the sense of belonging to UNITA of our university communities,2024-10-01 00:00:00,2027-10-31 00:00:00,Start to Start (StS),No problem,Need of reaching out students and expertise on communication,,
A.2.5.5 Promote a sense of belonging to European communities and inclusiveness,2023-11-01 00:00:00,2027-10-31 00:00:00,A.5.4.4 Collect and assest feedback from target group and stakeholders,2025-04-01 00:00:00,2026-04-30 00:00:00,Finish to Finish (FtF),No problem,The Task Team collects evidence and participation statistics from target groups and stakeholders,,
A.2.5.2 Organize an annual Conference on European Citizenship,2025-01-01 00:00:00,2027-07-31 00:00:00,A.5.4.4 Collect and assest feedback from target group and stakeholders,2025-04-01 00:00:00,2026-04-30 00:00:00,Finish to Finish (FtF),No problem,The Task Team collects evidence and participation statistics from target groups and stakeholders,,
A.2.5.4 Develop an action plan to integrate European Citizenship into the curricula of UNITA universities,2024-04-01 00:00:00,2027-04-30 00:00:00,A.5.2.2 Define the economic model and common financial methodology,2023-11-01 00:00:00,2024-08-31 00:00:00,Requires,No problem,Need of developing a business model for microcredentials on EU citizenship on the market,,
A.2.4.1 Define an alliance mobility strategy and action plan,2023-11-01 00:00:00,2024-10-31 00:00:00,,,,Requires,No problem,Handbook on mobilities from WP6 UNITA phase I (ref. Andra),,
A.2.4.1 Define an alliance mobility strategy and action plan,2023-11-01 00:00:00,2024-10-31 00:00:00,A.5.5.1 Introduce the new partners to the UNITA international network,2023-11-01 00:00:00,2024-10-31 00:00:00,Finish to Finish (FtF),,The Geminae partners already integrated through the VM,,
A.2.4.1 Define an alliance mobility strategy and action plan,2023-11-01 00:00:00,2024-10-31 00:00:00,A.5.5.2 Enhance the GEMINAE network,2024-11-01 00:00:00,2027-10-31 00:00:00,Finish to Finish (FtF),,,,
A.2.4.2 Encourage and facilitate mobility,2023-12-01 00:00:00,2026-10-31 00:00:00,A.3.1.3 Introduce the mobility window (MW) in study programmes,2024-04-01 00:00:00,2027-10-31 00:00:00,,,,,
A.2.4.3 Ensure accessible mobility for every student,2023-12-01 00:00:00,2027-10-31 00:00:00,A.3.4.2 Set the specifications of the inter-university digital campus,2024-05-01 00:00:00,2025-01-01 00:00:00,,,,,
