Task,Activity,Start,End
Task 1.1 Improve and transform the governance of UNITA,Activity not listed under a task,,
Task 1.1 Improve and transform the governance of UNITA,A.1.1.1 Introduce the new partners to the achievements and lessons learned from phase one,01/11/23,31/12/23
Task 1.1 Improve and transform the governance of UNITA,"A.1.1.2 Update and maintain the governance structures (Governance Board, Student Assembly, Quality and Evaluation Board)",01/11/23,31/10/27
Task 1.1 Improve and transform the governance of UNITA,A.1.1.3 Establish the agenda of the new bodies of the enlarged alliance,01/11/23,31/10/24
Task 1.1 Improve and transform the governance of UNITA,A.1.1.4 Coordinate the development of the UNITA model for a European University,01/10/24,31/10/27
Task 1.2 Manage and coordinate UNITA,A.1.2.1 Introduce the new partners to the achievements and lessons learned from phase one and to project management practices,01/11/23,31/12/23
Task 1.2 Manage and coordinate UNITA,A.1.2.2 Establish the UNITA Offices,01/11/23,30/04/24
Task 1.2 Manage and coordinate UNITA,A.1.2.3 Implement the UNITA management structure,01/11/23,30/06/24
Task 1.2 Manage and coordinate UNITA,A.1.2.4 Update the UNITA Management Guide and tools and design a DataWarehouse,01/11/23,31/07/24
Task 1.2 Manage and coordinate UNITA,A.1.2.5 Continuous management and coordination of the tasks activities,01/11/23,31/10/27
Task 1.3 UNITA Quality Assurance,A.1.3.1 Introduce the new partners to the achievements and lessons learned from phase one and to Quality Assurance practices,01/11/23,31/12/23
Task 1.3 UNITA Quality Assurance,A.1.3.2 Update the general synoptic assessment of partner Quality Assurance systems,01/01/24,31/10/24
Task 1.3 UNITA Quality Assurance,"A.1.3.3 Implement and test the evaluation of progress, pro-cesses, cost-efficiency, and deliverables of the first year",01/11/24,31/10/27
Task 1.3 UNITA Quality Assurance,A.1.3.4 Co-develop together with TT1.1 and disseminate the UNITA Quality Assurance strategy,01/10/25,31/10/27
Task 2.1 Sustainable policies for students and staff,A.2.1.1 Outline student and staff policies through-out the alliance,01/11/23,30/09/24
Task 2.1 Sustainable policies for students and staff,A.2.1.2 Promote student and staff well-being,01/10/24,31/10/27
Task 2.1 Sustainable policies for students and staff,A.2.1.3 Promote inclusion and gender equity,01/10/24,31/10/27
Task 2.1 Sustainable policies for students and staff,A.2.1.4 Foster staff training and career development,01/10/24,31/10/27
Task 2.1 Sustainable policies for students and staff,A.2.1.5 Facilitate organisational innovation through intra-entrepreneurship and management development,01/10/24,31/10/27
Task 2.1 Sustainable policies for students and staff,A.2.1.6 Connect students’ organisations and initiatives,01/10/24,31/10/27
Task 2.2 Romance languages learning and intercomprehension,A.2.2.1 Chart the activities on Romance languages teaching and learning and IC,01/11/23,28/02/24
Task 2.2 Romance languages learning and intercomprehension,A.2.2.2 Define a UNITA label for Romance languages learning and IC,01/02/24,30/04/24
Task 2.2 Romance languages learning and intercomprehension,"A.2.2.3 Create a network of UNITA language centres, including GEMINAE partners",01/04/24,31/10/24
Task 2.2 Romance languages learning and intercomprehension,A.2.2.4 Define and adopt a UNITA Language Policy,01/11/24,31/10/27
Task 2.2 Romance languages learning and intercomprehension,A.2.2.5 Produce microcredentials/modules with inclusion of “how-to pills”,01/10/24,31/10/27
"Task 2.3 Education, Research and Innovation community",A.2.3.1 Inventory of community building actions in the first phase,01/11/23,31/01/24
"Task 2.3 Education, Research and Innovation community",A.2.3.2 Implement Task-focused open actions for community building,01/02/24,30/04/25
"Task 2.3 Education, Research and Innovation community",A.2.3.3 Starting projects implementation,30/04/25,30/06/26
"Task 2.3 Education, Research and Innovation community",A.2.3.4 Implement advanced projects,01/04/26,30/04/27
"Task 2.3 Education, Research and Innovation community",A.2.3.5 Summarize and draw concluision on the second phase of UNITA community building actions,01/05/27,31/10/27
Task 2.4 Seamless mobility between Campuses and territories,A.2.4.1 Define an alliance mobility strategy and action plan,01/11/23,31/10/24
Task 2.4 Seamless mobility between Campuses and territories,A.2.4.2 Encourage and facilitate mobility,01/12/23,31/10/26
Task 2.4 Seamless mobility between Campuses and territories,A.2.4.3 Ensure accessible mobility for every student,01/12/23,31/10/27
Task 2.4 Seamless mobility between Campuses and territories,A.2.4.4 Enhance the impact on the territories: UNITA Rural Mobility,01/04/24,31/08/27
Task 2.4 Seamless mobility between Campuses and territories,A.2.4.5 Track careers after mobilities,01/10/24,31/10/27
Task 2.5 European Citizenship initiative,A.2.5.1 Recap UNITA phase one activity on European Citizenship,01/11/23,30/04/24
Task 2.5 European Citizenship initiative,A.2.5.2 Organize an annual Conference on European Citizenship,01/01/25,31/07/27
Task 2.5 European Citizenship initiative,A.2.5.3 Set up UNITA prizes and contests on European Citizenship,01/04/24,31/10/27
Task 2.5 European Citizenship initiative,A.2.5.4 Develop an action plan to integrate European Citizenship into the curricula of UNITA universities,01/04/24,30/04/27
Task 2.5 European Citizenship initiative,A.2.5.5 Promote a sense of belonging to European communities and inclusiveness,01/11/23,31/10/27
Task 3.1 UNITA personalised international learning paths,A.3.1.1 Introduce the new partners to the achievements and lessons learned from phase one,01/11/23,31/12/23
Task 3.1 UNITA personalised international learning paths,A.3.1.2 Create the “UNITA à la carte” model,01/01/24,31/10/27
Task 3.1 UNITA personalised international learning paths,A.3.1.3 Introduce the mobility window (MW) in study programmes,01/04/24,31/10/27
Task 3.1 UNITA personalised international learning paths,A.3.1.4 Develop and promote a UNITA label for shared study programmes,01/03/24,30/09/24
Task 3.1 UNITA personalised international learning paths,A.3.1.5 Design and implement shared UNITA degrees,01/09/24,31/10/27
Task 3.2 UNITA Micro-credentials for Lifelong Learning,A.3.2.1 Define the UNITA strategy for Lifelong Learning,01/11/23,30/04/24
Task 3.2 UNITA Micro-credentials for Lifelong Learning,A.3.2.2 Define and award the UNITA microcredential label,01/05/24,31/10/27
Task 3.2 UNITA Micro-credentials for Lifelong Learning,A.3.2.3 Develop new microcredentials meeting emerging needs,01/10/24,31/10/27
Task 3.2 UNITA Micro-credentials for Lifelong Learning,A.3.2.4 Set up the catalogue of UNITA labelled micro-credentials,01/10/24,31/10/27
Task 3.2 UNITA Micro-credentials for Lifelong Learning,A.3.2.5 Use microcredentials as a contribution to the UNITA financial sustainability,01/12/24,31/10/27
Task 3.3 UNITA Innovation in teaching & learning initiative,A.3.3.1 Include the new partners of the alliance in the existing UNITA Teaching and Learning Centres Net-work,01/11/23,30/04/24
Task 3.3 UNITA Innovation in teaching & learning initiative,A.3.3.2 Develop the UNITA teacher training offer,01/04/24,30/09/24
Task 3.3 UNITA Innovation in teaching & learning initiative,A.3.3.3 Implement and test the UNITA teacher training,01/10/24,31/08/27
Task 3.3 UNITA Innovation in teaching & learning initiative,A.3.3.4 Launch yearly calls on Innovation in Learning & Teaching,01/01/24,31/10/27
Task 3.3 UNITA Innovation in teaching & learning initiative,A.3.3.5 Develop the UNITA communities of practice,01/02/25,31/08/27
Task 3.4 UNITA Inter-University Digital Campus,A.3.4.1 Set up the UNITA inter-university digital campus,01/11/23,30/04/24
Task 3.4 UNITA Inter-University Digital Campus,A.3.4.2 Set the specifications of the inter-university digital campus,01/05/24,01/01/25
Task 3.4 UNITA Inter-University Digital Campus,A.3.4.3 Implement and test the UNITA inter-university digi-tal campus in a continuous monitoring and follow-up approach,01/04/24,31/10/27
