Activity A,Start,End,Activity B,Start,End,Type of dependency,Dependency status,Comment,Issue target date,Solution found
A.4.4.2 Define standards for the eligibility of learning programmes for the UGS,01/03/24,31/01/25,A.3.1.3 Introduce the mobility window (MW) in study programmes,01/04/24,31/10/27,Finish to Start (FtS),No problem,Definition of MW needed for UGS standards,,
A.3.3.2 Develop the UNITA teacher training offer,01/04/24,30/09/24,A.2.1.1 Outline student and staff policies through-out the alliance,01/11/23,30/09/24,Finish to Finish (FtF),Slowing,Needs definition of rewarding schemes for teachers to have them on board for training,,
A.2.4.3 Ensure accessible mobility for every student,01/12/23,31/10/27,A.3.4.1 Set up the UNITA inter-university digital campus,01/11/23,30/04/24,Start to Start (StS),Blocking,Limesurvey not accessible for setting up a survey after the BIP ends,,
A.5.2.2 Define the economic model and common financial methodology,01/11/23,31/08/24,A.3.2.5 Use microcredentials as a contribution to the UNITA financial sustainability,01/12/24,31/10/27,Finish to Finish (FtF),,The analysis of the co-operation paths and analysis of the economic model of each one will depend on the type and level of activity defined by the task,,
A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,A.3.1.5 Design and implement shared UNITA degrees,9/1/2024,10/31/2027,Finish to Finish (FtF),No problem,The analysis of the co-operation paths and analysis of the economic model of each one will depend on the type and level of activity defined by the task,,
A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,A.3.4.3 Implement and test the UNITA inter-university digi-tal campus in a continuous monitoring and follow-up approach,4/1/2024,10/31/2027,Finish to Finish (FtF),No problem,The analysis of the co-operation paths and analysis of the economic model of each one will depend on the type and level of activity defined by the task,,
A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,A.4.2.1 Evolve and update the researchers cartography,11/1/2023,6/30/2024,Finish to Finish (FtF),No problem,The analysis of the co-operation paths and analysis of the economic model of each one will depend on the type and level of activity defined by the task,,
A.5.3.3 Introduce sustainability topics into the stu-dents’ curricula,10/1/2024,10/31/2027,A.3.2.4 Set up the catalogue of UNITA labelled micro-credentials,10/1/2024,10/31/2027,Finish to Finish (FtF),No problem,Microcredentials in sustainability should be a common task,,
A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,"A.4.3.2 Consolidate the model for sharing research infrastructures and services, based on a decentralized management and Open Data approaches",3/1/2024,1/31/2025,Finish to Finish (FtF),No problem,The analysis of the co-operation paths and analysis of the economic model of each one will depend on the type and level of activity defined by the task,,
A.5.5.2 Enhance the GEMINAE network,11/1/2024,10/31/2027,A.5.1.2 Create a map of stakeholders,3/1/2024,10/31/2024,Finish to Start (FtS),Slowing,In WP5.1 are already developing the map of stakeholders and it will be ready on time. Maybe some preliminary version could be useful for team 5.5,,
A.5.5.2 Enhance the GEMINAE network,11/1/2024,10/31/2027,"A.2.2.3 Create a network of UNITA language centres, including GEMINAE partners",4/1/2024,10/31/2024,Finish to Start (FtS),No problem,We need sharing information with 2.2 to see how we can develop the cooperation among language centers of UNTA and Geminae,,
A.5.5.2 Enhance the GEMINAE network,11/1/2024,10/31/2027,A.2.4.2 Encourage and facilitate mobility,12/1/2023,10/31/2026,Finish to Start (FtS),No problem,We need budget and also mobility opportunities. Expertise of international offices for applying to different calls,,
A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,A.4.4.1 Collect and chart current master and doctoral training activities,11/1/2023,7/31/2024,Finish to Start (FtS),No problem,The analysis of the co-operation paths and analysis of the economic model of each one will depend on the type and level of activity defined by the task,,
A.5.3.4 Promote green mobility,10/1/2024,10/31/2027,A.5.2.2 Define the economic model and common financial methodology,11/1/2023,8/31/2024,Finish to Start (FtS),Slowing,The implementation of green mobility in the campus should be influenced by the funds allocated,,
A.5.4.3 Implement and test first series of impact measurement,10/1/2024,10/31/2025,"A.5.4.2 Design methodology, data collection and interfaces dashboard principles",4/1/2024,10/31/2024,Finish to Start (FtS),No problem,We need the methodology and the data connection to implement the first series.,,
A.5.4.3 Implement and test first series of impact measurement,10/1/2024,10/31/2025,A.5.1.2 Create a map of stakeholders,3/1/2024,10/31/2024,Finish to Start (FtS),Slowing,Need to define the stakeholders to measure impact (on stakeholders),,
A.5.4.3 Implement and test first series of impact measurement,10/1/2024,10/31/2025,A.1.2.4 Update the UNITA Management Guide and tools and design a DataWarehouse,11/1/2023,7/31/2024,Finish to Start (FtS),Slowing,We need the datawarehouse,,
A.5.4.4 Collect and assest feedback from target group and stakeholders,4/1/2025,4/30/2026,A.5.1.2 Create a map of stakeholders,3/1/2024,10/31/2024,Finish to Start (FtS),Slowing,Need to define the stakeholders,,
A.5.3.5 Create a culture of sustainability,10/1/2024,10/31/2027,A.5.1.4 Implement and test the Communication Plan,2/1/2024,10/31/2027,Requires,No problem,include in the communication plan actions to promote the culture of sustainability,,
A.5.3.3 Introduce sustainability topics into the stu-dents’ curricula,10/1/2024,10/31/2027,A.3.2.4 Set up the catalogue of UNITA labelled micro-credentials,10/1/2024,10/31/2027,Requires,No problem,Microcredentials in sustainability should be a common task,,
A.5.3.3 Introduce sustainability topics into the stu-dents’ curricula,10/1/2024,10/31/2027,A.4.1.3 Build an industry-driven and challenge-based teaching and learning network,10/1/2024,10/31/2027,Requires,No problem,Introduce sustainability topics in the offer of industry driven and challenge based teaching,,
A.5.3.5 Create a culture of sustainability,10/1/2024,10/31/2027,A.4.2.4 Evolve this common basic organization into more institutionalized international research centres,11/1/2026,10/31/2027,Requires,No problem,include sustainibility as a transversal topic in all Hubs,,
A.5.3.5 Create a culture of sustainability,10/1/2024,10/31/2027,A.2.1.6 Connect students’ organisations and initiatives,10/1/2024,10/31/2027,Requires,No problem,involve the SA in initiatives about sustainability in connection with the Students policy developed by Task 2.1,,
A.5.3.4 Promote green mobility,10/1/2024,10/31/2027,A.2.4.1 Define an alliance mobility strategy and action plan,11/1/2023,10/31/2024,Start to Start (StS),No problem,include green mobility in the general mobility plan,,
